company_id,created_date
"1c3a5aa593a379f","2019-08-01"
"670298055813ff2","2019-08-12"
"b7dbb667073bbfd","2019-11-13"
"f9e80d0e92833b4","2019-09-13"
"3b6bbd9443c9636","2019-10-23"
"09a0e89d2e3c107","2019-10-18"
"69a3a363a4eb884","2019-11-04"
"92bcdb7671b5d84","2019-12-11"
"9715ecbadadfc60","2019-09-13"
"9e1e87a15ce8a9f","2019-08-01"
"c80c8dc051b1702","2019-08-07"
"cce5adae692495e","2019-10-08"
"f106bb007570db3","2019-08-15"
"37390c2bcafad2c","2019-12-28"
"4f2776f5d348e79","2019-08-12"
"98d8dc8e4e6e197","2019-07-11"
"e557ab65e628d1b","2019-07-26"
"ebc9334e2be3cf1","2019-12-30"
"6e9a8005cbef360","2019-08-09"
"5e2abd87f7793e7","2019-08-14"
"7a303274e795c00","2019-11-26"
"05cadb275f334cf","2019-09-20"
"adecfba41cc19ba","2019-07-08"
"6789a9a691684fa","2019-10-23"
"f56c5bbd2449451","2019-10-02"
"1d839c9f98eb256","2019-12-31"
"1eb764a309e533b","2019-12-17"
"da96bee6688c0dc","2019-10-30"
"8f925cbb232b1cb","2019-11-14"
"c5ff46f9bdb09c3","2019-09-23"
"c4b1b64ad475e69","2019-07-26"
"5bb9cf990d0bb27","2019-11-15"
"03ab161b55472fe","2019-08-30"
"5142aa3b8329712","2019-10-28"
"82895c34e79a277","2019-07-22"
"f9e094a41e6b4d4","2019-12-18"
"10926ecbbf020c0","2019-10-30"
"1c25b3c5930bad8","2019-10-11"
"b30b0bb09ed0df8","2019-11-25"
"69910499d0f732c","2019-11-15"
"970d93dcf9535b1","2019-09-19"
"366e661833fd5c8","2019-12-18"
"b8c59fe4eec3677","2019-08-14"
"cddc6131e28104d","2019-11-07"
"315d36c73da70be","2019-08-20"
"a32994ade300f85","2019-12-27"
"b2592a9ce5200d8","2019-09-11"
"44a64a70ec691d0","2019-09-05"
"96cc614a2b1ed45","2019-07-04"
"7d5c275ff05919f","2019-11-13"
"44d4652adfb614e","2019-11-13"
"952407a6a405e47","2019-08-19"
"960803ec7a3d403","2019-10-22"
"26e7f6f9ee57e2c","2019-09-18"
"0594a4dd457488d","2019-09-23"
"e84d97172547b69","2019-12-03"
"55c4d8032f0fa19","2019-07-25"
"e057bb8e2bf0af6","2019-10-22"
"f9394501ca87621","2019-08-28"
"e7eab9600c35a4b","2019-07-24"
"f5b00c387fc03ed","2019-08-26"
"82e583d3d63a54d","2019-08-19"
"54ec741eb38d31e","2019-10-16"
"866e5e55c95b0df","2019-08-01"
"9b0a1c92537e6a3","2019-12-19"
"78f87de71400aa9","2019-11-07"
"957346a2c0ed845","2019-09-30"
"bb8503afaae3a0f","2019-11-04"
"e109a014c4d9111","2019-12-23"
"ededb2f61603378","2019-09-18"
"09e01f43790ce4b","2019-10-15"
"b7359f0899cf2d2","2019-08-09"
"5ba0a1ee130fa54","2019-11-13"
"1437a7a40e93409","2019-12-31"
"7331a543e968343","2019-09-18"
"7d8020b18c5c802","2019-08-27"
"7f016196e1c34ba","2019-11-26"
"8291969d3b9e66d","2019-09-16"
"9a3182572c850a0","2019-08-01"
"ff6d353ba93450c","2019-08-12"
"ffcb5fda3e29c2e","2019-08-26"
"a83ed9290add193","2019-10-25"
"449b1f3c2af9d91","2019-07-04"
"8a946d255736f83","2019-11-12"
"6bb9f0b23bdfc98","2019-10-03"
"3b53952fb4ff5ea","2019-10-21"
"4ca1ba9beb5aa2c","2019-08-14"
"67d83dc8944a9d0","2019-10-31"
"8bcf632d8e1a6fd","2019-10-08"
"1190049b148c97d","2019-10-10"
"163857b87ee6335","2019-09-12"
"55c5f82a9eb8a5f","2019-09-20"
"45a87c349604ddd","2019-12-09"
"02e3b4e0de234a6","2019-11-19"
"ecb42018fe19db6","2019-10-21"
"088a09d09a89699","2019-07-23"
"a36935c32197c17","2019-10-07"
"c9809a19cf54e66","2019-09-18"
"17a8713bdd4713d","2019-08-12"
"19ca3db82391097","2019-11-16"
"b6808d1c2a0d05b","2019-08-29"
"c513d9315a593d8","2019-07-08"
"edcf9574c5f1de8","2019-11-14"
"37e42650307ef29","2019-10-18"
"e2f639d9455309b","2019-09-12"
"44ddd4e77d0ccf1","2019-11-19"
"b4931963602c0fd","2019-09-04"
"19df186a3c2f40e","2019-08-13"
"9b8855854b6440a","2019-12-31"
"8a1e4a18ce5540c","2019-09-18"
"2c010e514caa861","2019-09-17"
"52e3d52a3f6cd0f","2019-08-22"
"946d47f8b36ae38","2019-10-15"
"1d8aba95f8d20d3","2019-11-20"
"df6fdbc76b2951d","2019-08-06"
"67106cf450de289","2019-08-12"
"dd1ee77969ac722","2019-12-23"
"d3d575e38cc0c87","2019-08-29"
"116160647662954","2019-12-23"
"005eb905072c19c","2019-07-30"
"2d0b7f45bd72c12","2019-07-26"
"9cc271d98f4f9a1","2019-11-06"
"a8557f6cdb8f808","2019-09-20"
"6470e890afc9c8c","2019-09-26"
"965f3287f636d81","2019-08-01"
"a267478aabfd4d5","2019-11-01"
"bbd4b01c24d8691","2019-08-12"
"0676e402c6def88","2019-10-09"
"0fb4f380864f559","2019-07-16"
"acb81cfe684c8e7","2019-12-05"
"f804bff80794bea","2019-12-19"
"e4c8096b3e7351a","2019-08-23"
"cd1d9c612d6fdf1","2019-07-23"
"960fdabe6582cb0","2019-07-15"
"c530cf31f76059d","2019-07-15"
"844115576e76964","2019-09-04"
"a5fcc3ba20c3c1f","2019-08-01"
"35a41434b9c1acf","2019-10-08"
"426ec78b6083823","2019-12-06"
"5142aa3b8329712","2019-09-23"
"fbec50665b039d5","2019-08-14"
"7f83371385ad932","2019-08-20"
"0f64459867200a3","2019-09-28"
"4e55d06914ec017","2019-08-01"
"9090af49bac2afb","2019-09-30"
"ff2ca37d0d68d03","2019-12-31"
"c69ce37a81a5764","2019-08-21"
"20686fdd6d52016","2019-12-17"
"20686fdd6d52016","2019-12-20"
"5fb7045e65433d4","2019-11-08"
"5cb1d84e901d336","2019-12-19"
"c4bf62e2198140d","2019-11-19"
"a961d77040f2294","2019-11-25"
"33a2800ab3b224c","2019-11-11"
"bcb7b8feac6e4e7","2019-07-10"
"e613b4360888713","2019-09-25"
"a67c0f54df38a43","2019-11-26"
"c685a3ec6fbcd2b","2019-10-16"
"5851255f77847f2","2019-08-30"
"04c7d15834c0fad","2019-09-20"
"ebebb977109bec2","2019-10-28"
"feb58ba50ce36c9","2019-08-29"
"57586ba25c4afd4","2019-10-31"
"2b03d3b814f6d79","2019-09-03"
"46e581a09142af0","2019-08-05"
"81351cba10cf977","2019-07-23"
"d7332318c24aae6","2019-11-21"
"c6b62d6633b07b8","2019-07-30"
"4e2ca4f062ba57d","2019-07-26"
"a2a76ed7e19fc53","2019-07-24"
"c94c838294f7035","2019-11-11"
"ce5c4e27e55a9d9","2019-09-12"
"765d93c570216b5","2019-07-26"
"470936173ec7a63","2019-07-30"
"12d866223406696","2019-07-18"
"1efa405e3330f0b","2019-07-24"
"3efdc110d4e2ba9","2019-12-30"
